Project,Resource,Segment Start,Segment End,Soft Allocation
AP1001,csk.dba,01.Jan.2023,01.Feb.2023,0.0
AP1001,csk.dba,01.Feb.2023,01.Mar.2023,0.0
AP1001,csk.dba,01.Mar.2023,01.Apr.2023,0.0
AP1001,csk.dba,01.Apr.2023,01.May.2023,0.0
AP1001,csk.dba,01.May.2023,01.Jun.2023,0.0
AP1001,csk.dba,01.Jun.2023,01.Jul.2023,0.0
AP1001,csk.dba,01.Jul.2023,01.Aug.2023,0.0
AP1001,csk.dba,01.Aug.2023,01.Sep.2023,0.0
AP1001,csk.dba,01.Sep.2023,01.Oct.2023,0.0
AP1001,csk.dba,01.Oct.2023,01.Nov.2023,0.0
AP1001,csk.dba,01.Nov.2023,01.Dec.2023,0.0
AP1001,csk.dba,01.Dec.2023,01.Jan.2024,0.0
AP1001,csk.dba,01.Jan.2024,01.Feb.2024,0.0
AP1001,csk.dba,01.Feb.2024,01.Mar.2024,0.0
AP1001,csk.dba,01.Mar.2024,01.Apr.2024,0.0
AP1001,csk.dba,01.Apr.2024,01.May.2024,0.0
AP1001,csk.dba,01.May.2024,01.Jun.2024,0.0
AP1001,csk.dba,01.Jun.2024,01.Jul.2024,0.0
AP1001,csk.dba,01.Jul.2024,01.Aug.2024,0.0
AP1001,csk.dba,01.Aug.2024,01.Sep.2024,0.0
AP1001,csk.dba,01.Sep.2024,01.Oct.2024,0.0
AP1001,csk.dba,01.Oct.2024,01.Nov.2024,0.0
AP1001,csk.dba,01.Nov.2024,01.Dec.2024,0.0
AP1001,csk.dba,01.Dec.2024,01.Jan.2025,0.0
AP1001,csk.dba,01.Jan.2025,01.Feb.2025,0.0
AP1001,csk.dba,01.Feb.2025,01.Mar.2025,0.0
AP1001,csk.dba,01.Mar.2025,01.Apr.2025,0.0
AP1001,csk.dba,01.Apr.2025,01.May.2025,0.0
AP1001,csk.dba,01.May.2025,01.Jun.2025,0.0
AP1001,csk.dba,01.Jun.2025,01.Jul.2025,0.0
AP1001,csk.dba,01.Jul.2025,01.Aug.2025,0.0
AP1001,csk.dba,01.Aug.2025,01.Sep.2025,0.0
AP1001,csk.dba,01.Sep.2025,01.Oct.2025,0.0
AP1001,csk.dba,01.Oct.2025,01.Nov.2025,0.0
AP1001,csk.dba,01.Nov.2025,01.Dec.2025,0.0
AP1001,csk.dba,01.Dec.2025,01.Jan.2026,0.0
AP1002,csk.developer,01.Jan.2023,01.Feb.2023,0.0
AP1002,csk.developer,01.Feb.2023,01.Mar.2023,0.0
AP1002,csk.developer,01.Mar.2023,01.Apr.2023,0.0
AP1002,csk.developer,01.Apr.2023,01.May.2023,0.0
AP1002,csk.developer,01.May.2023,01.Jun.2023,0.0
AP1002,csk.developer,01.Jun.2023,01.Jul.2023,0.0
AP1002,csk.developer,01.Jul.2023,01.Aug.2023,0.0
AP1002,csk.developer,01.Aug.2023,01.Sep.2023,0.0
AP1002,csk.developer,01.Sep.2023,01.Oct.2023,0.0
